(e) L(1e-13) from the proven tail bound, per shape, separation and direction.
    Lwb = smallest even L <= 56 whose whole-box tail is below tol*est(R);
    Loct = largest of the 8 sub-box L_j for the octant split (budget tol*est/8);
    -1 = the bound is not met at L <= 56.  cost = complex multiply-adds issued.

shp  f           dir   sep  rho     kR       Lwb  cost    Loct costOct  route
sl   1.0 + 0.0im ax3   16   1.4156  0.196    -1   -1      -1   -1       3
sl   1.0 + 0.0im ax3   32   0.7078  0.393    -1   -1      32   59164    2
sl   1.0 + 0.0im ax3   64   0.3539  0.785    30   1673    21   27104    1
sl   1.0 + 0.1im ax1   2    0.7078  0.395    -1   -1      44   78652    2
sl   1.0 + 0.1im ax1   3    0.4719  0.592    38   2631    28   38360    1
sl   1.0 + 0.1im ax1   4    0.3539  0.789    30   1673    23   28476    1
sl   1.0 + 0.1im ax1   6    0.2359  1.184    22   931     18   19180    1
sl   1.0 + 0.1im ax1   8    0.1769  1.579    18   641     16   15260    1
sl   1.0 + 0.1im ax1   16   0.0885  3.157    14   405     13   10976    1
sl   1.0 + 0.1im ax1   32   0.0442  6.315    12   307     11   8064     1
sl   1.0 + 0.1im ax1   64   0.0221  12.629   10   223     10   6776     1
sl   1.0 + 0.1im ax2   2    0.7078  0.395    -1   -1      44   78652    2
sl   1.0 + 0.1im ax2   3    0.4719  0.592    38   2631    28   38360    1
sl   1.0 + 0.1im ax2   4    0.3539  0.789    30   1673    23   28476    1
sl   1.0 + 0.1im ax2   6    0.2359  1.184    22   931     18   19180    1
sl   1.0 + 0.1im ax2   8    0.1769  1.579    18   641     16   15260    1
sl   1.0 + 0.1im ax2   16   0.0885  3.157    14   405     13   10976    1
sl   1.0 + 0.1im ax2   32   0.0442  6.315    12   307     11   8064     1
sl   1.0 + 0.1im ax2   64   0.0221  12.629   10   223     10   6776     1
sl   1.0 + 0.1im ax3   2    11.3248 0.025    -1   -1      -1   -1       3
sl   1.0 + 0.1im ax3   3    7.5498  0.037    -1   -1      -1   -1       3
sl   1.0 + 0.1im ax3   4    5.6624  0.049    -1   -1      -1   -1       3
sl   1.0 + 0.1im ax3   6    3.7749  0.074    -1   -1      -1   -1       3
sl   1.0 + 0.1im ax3   8    2.8312  0.099    -1   -1      -1   -1       3
sl   1.0 + 0.1im ax3   16   1.4156  0.197    -1   -1      -1   -1       3
sl   1.0 + 0.1im ax3   32   0.7078  0.395    -1   -1      32   59164    2
sl   1.0 + 0.1im ax3   64   0.3539  0.789    30   1673    21   27104    1
